hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat
45,49,49,65,65,45,grass,poison,bulbasaur,318
60,62,63,80,80,60,grass,poison,ivysaur,405
80,82,83,100,100,80,grass,poison,venusaur,525
39,52,43,60,50,65,fire,,charmander,309
58,64,58,80,65,80,fire,,charmeleon,405
78,84,78,109,85,100,fire,flying,charizard,534
44,48,65,50,64,43,water,,squirtle,314
59,63,80,65,80,58,water,,wartortle,405
79,83,100,85,105,78,water,,blastoise,530
45,30,35,20,20,45,bug,,caterpie,195
50,20,55,25,25,30,bug,,metapod,205
60,45,50,90,80,70,bug,flying,butterfree,395
40,35,30,20,20,50,bug,poison,weedle,195
45,25,50,25,25,35,bug,poison,kakuna,205
65,90,40,45,80,75,bug,poison,beedrill,395
40,45,40,35,35,56,normal,flying,pidgey,251
63,60,55,50,50,71,normal,flying,pidgeotto,349
83,80,75,70,70,101,normal,flying,pidgeot,479
30,56,35,25,35,72,normal,,rattata,253
55,81,60,50,70,97,normal,,raticate,413
40,60,30,31,31,70,normal,flying,spearow,262
65,90,65,61,61,100,normal,flying,fearow,442
35,60,44,40,54,55,poison,,ekans,288
60,95,69,65,79,80,poison,,arbok,448
35,55,40,50,50,90,electric,,pikachu,320
60,90,55,90,80,110,electric,,raichu,485
50,75,85,20,30,40,ground,,sandshrew,300
75,100,110,45,55,65,ground,,sandslash,450
55,47,52,40,40,41,poison,,nidoran-f,275
70,62,67,55,55,56,poison,,nidorina,365
90,92,87,75,85,76,poison,ground,nidoqueen,505
46,57,40,40,40,50,poison,,nidoran-m,273
61,72,57,55,55,65,poison,,nidorino,365
81,102,77,85,75,85,poison,ground,nidoking,505
70,45,48,60,65,35,fairy,,clefairy,323
95,70,73,95,90,60,fairy,,clefable,483
38,41,40,50,65,65,fire,,vulpix,299
73,76,75,81,100,100,fire,,ninetales,505
115,45,20,45,25,20,normal,fairy,jigglypuff,270
140,70,45,85,50,45,normal,fairy,wigglytuff,435
40,45,35,30,40,55,poison,flying,zubat,245
75,80,70,65,75,90,poison,flying,golbat,455
45,50,55,75,65,30,grass,poison,oddish,320
60,65,70,85,75,40,grass,poison,gloom,395
75,80,85,110,90,50,grass,poison,vileplume,490
35,70,55,45,55,25,bug,grass,paras,285
60,95,80,60,80,30,bug,grass,parasect,405
60,55,50,40,55,45,bug,poison,venonat,305
70,65,60,90,75,90,bug,poison,venomoth,450
10,55,25,35,45,95,ground,,diglett,265
35,100,50,50,70,120,ground,,dugtrio,425
40,45,35,40,40,90,normal,,meowth,290
65,70,60,65,65,115,normal,,persian,440
50,52,48,65,50,55,water,,psyduck,320
80,82,78,95,80,85,water,,golduck,500
40,80,35,35,45,70,fighting,,mankey,305
65,105,60,60,70,95,fighting,,primeape,455
55,70,45,70,50,60,fire,,growlithe,350
90,110,80,100,80,95,fire,,arcanine,555
40,50,40,40,40,90,water,,poliwag,300
65,65,65,50,50,90,water,,poliwhirl,385
90,95,95,70,90,70,water,fighting,poliwrath,510
25,20,15,105,55,90,psychic,,abra,310
40,35,30,120,70,105,psychic,,kadabra,400
55,50,45,135,95,120,psychic,,alakazam,500
70,80,50,35,35,35,fighting,,machop,305
80,100,70,50,60,45,fighting,,machoke,405
90,130,80,65,85,55,fighting,,machamp,505
50,75,35,70,30,40,grass,poison,bellsprout,300
65,90,50,85,45,55,grass,poison,weepinbell,390
80,105,65,100,70,70,grass,poison,victreebel,490
40,40,35,50,100,70,water,poison,tentacool,335
80,70,65,80,120,100,water,poison,tentacruel,515
