hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat
50,65,50,40,40,65,grass,,grookey,310
70,85,70,55,60,80,grass,,thwackey,420
100,125,90,60,70,85,grass,,rillaboom,530
50,71,40,40,40,69,fire,,scorbunny,310
65,86,60,55,60,94,fire,,raboot,420
80,116,75,65,75,119,fire,,cinderace,530
50,40,40,70,40,70,water,,sobble,310
65,60,55,95,55,90,water,,drizzile,420
70,85,65,125,65,120,water,,inteleon,530
70,55,55,35,35,25,normal,,skwovet,275
120,95,95,55,75,20,normal,,greedent,460
38,47,35,33,35,57,flying,,rookidee,245
68,67,55,43,55,77,flying,,corvisquire,365
98,87,105,53,85,67,flying,steel,corviknight,495
25,20,20,25,45,45,bug,,blipbug,180
50,35,80,50,90,30,bug,psychic,dottler,335
60,45,110,80,120,90,bug,psychic,orbeetle,505
40,28,28,47,52,50,dark,,nickit,245
70,58,58,87,92,90,dark,,thievul,455
40,40,60,40,60,10,grass,,gossifleur,250
60,50,90,80,120,60,grass,,eldegoss,460
42,40,55,40,45,48,normal,,wooloo,270
72,80,100,60,90,88,normal,,dubwool,490
50,64,50,38,38,44,water,,chewtle,284
90,115,90,48,68,74,water,rock,drednaw,485
59,45,50,40,50,26,electric,,yamper,270
69,90,60,90,60,121,electric,,boltund,490
30,40,50,40,50,30,rock,,rolycoly,240
80,60,90,60,70,50,rock,fire,carkol,410
110,80,120,80,90,30,rock,fire,coalossal,510
40,40,80,40,40,20,grass,dragon,applin,260
70,110,80,95,60,70,grass,dragon,flapple,485
110,85,80,100,80,30,grass,dragon,appletun,485
52,57,75,35,50,46,ground,,silicobra,315
72,107,125,65,70,71,ground,,sandaconda,510
70,85,55,85,95,85,flying,water,cramorant,475
41,63,40,40,30,66,water,,arrokuda,280
61,123,60,60,50,136,water,,barraskewda,490
40,38,35,54,35,40,electric,poison,toxel,242
75,98,70,114,70,75,electric,poison,toxtricity-amped,502
50,65,45,50,50,45,fire,bug,sizzlipede,305
100,115,65,90,90,65,fire,bug,centiskorch,525
50,68,60,50,50,32,fighting,,clobbopus,310
80,118,90,70,80,42,fighting,,grapploct,480
40,45,45,74,54,50,ghost,,sinistea,308
60,65,65,134,114,70,ghost,,polteageist,508
42,30,45,56,53,39,psychic,,hatenna,265
57,40,65,86,73,49,psychic,,hattrem,370
57,90,95,136,103,29,psychic,fairy,hatterene,510
45,45,30,55,40,50,dark,fairy,impidimp,265
65,60,45,75,55,70,dark,fairy,morgrem,370
95,120,65,95,75,60,dark,fairy,grimmsnarl,510
93,90,101,60,81,95,dark,normal,obstagoon,520
70,110,100,50,60,50,steel,,perrserker,440
60,95,50,145,130,30,ghost,,cursola,510
62,135,95,68,82,65,fighting,,sirfetchd,507
80,85,75,110,100,70,ice,psychic,mr-rime,520
58,95,145,50,105,30,ground,ghost,runerigus,483
45,40,40,50,61,34,fairy,,milcery,270
65,60,75,110,121,64,fairy,,alcremie,495
65,100,100,70,60,75,fighting,,falinks,470
48,101,95,91,85,15,electric,,pincurchin,435
30,25,35,45,30,20,ice,bug,snom,185
70,65,60,125,90,65,ice,bug,frosmoth,475
100,125,135,20,20,70,rock,,stonjourner,470
75,80,110,65,90,50,ice,,eiscue-ice,470
60,65,55,105,95,95,psychic,normal,indeedee-male,475
58,95,58,70,58,97,electric,dark,morpeko-full-belly,436
72,80,49,40,49,40,steel,,cufant,330
122,130,69,80,69,30,steel,,copperajah,500
90,100,90,80,70,75,electric,dragon,dracozolt,505
90,100,90,90,80,55,electric,ice,arctozolt,505
90,90,100,70,80,75,water,dragon,dracovish,505
90,90,100,80,90,55,water,ice,arctovish,505
70,95,115,120,50,85,steel,dragon,duraludon,535
28,60,30,40,30,82,dragon,ghost,dreepy,270
68,80,50,60,50,102,dragon,ghost,drakloak,410
88,120,75,100,75,142,dragon,ghost,dragapult,600
92,130,115,80,115,138,fairy,,zacian,670
92,130,115,80,115,138,fighting,,zamazenta,670
140,85,95,145,95,130,poison,dragon,eternatus,690
60,90,60,53,50,72,fighting,,kubfu,385
100,130,100,63,60,97,fighting,dark,urshifu-single-strike,550
105,120,105,70,95,105,dark,grass,zarude,600
80,100,50,100,50,200,electric,,regieleki,580
200,100,50,100,50,80,dragon,,regidrago,580
100,145,130,65,110,30,ice,,glastrier,580
100,65,60,145,80,130,ghost,,spectrier,580
100,80,80,80,80,80,psychic,grass,calyrex,500
103,105,72,105,75,65,normal,psychic,wyrdeer,525
70,135,95,45,70,85,bug,rock,kleavor,500
130,140,105,45,80,50,ground,normal,ursaluna,550
120,112,65,80,75,78,water,ghost,basculegion-male,530
80,130,60,40,80,120,fighting,poison,sneasler,510
85,115,95,65,65,85,dark,poison,overqwil,510
74,115,70,135,80,106,fairy,flying,enamorus-incarnate,580
