hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat
45,49,65,49,65,45,grass,,chikorita,318
60,62,80,63,80,60,grass,,bayleef,405
80,82,100,83,100,80,grass,,meganium,525
39,52,43,60,50,65,fire,,cyndaquil,309
58,64,58,80,65,80,fire,,quilava,405
78,84,78,109,85,100,fire,,typhlosion,534
50,65,64,44,48,43,water,,totodile,314
65,80,80,59,63,58,water,,croconaw,405
85,105,100,79,83,78,water,,feraligatr,530
35,46,34,35,45,20,normal,,sentret,215
85,76,64,45,55,90,normal,,furret,415
60,30,30,36,56,50,normal,flying,hoothoot,262
100,50,50,86,96,70,normal,flying,noctowl,452
40,20,30,40,80,55,bug,flying,ledyba,265
55,35,50,55,110,85,bug,flying,ledian,390
40,60,40,40,40,30,bug,poison,spinarak,250
70,90,70,60,70,40,bug,poison,ariados,400
85,90,80,70,80,130,poison,flying,crobat,535
75,38,38,56,56,67,water,electric,chinchou,330
125,58,58,76,76,67,water,electric,lanturn,460
20,40,15,35,35,60,electric,,pichu,205
50,25,28,45,55,15,fairy,,cleffa,218
90,30,15,40,20,15,normal,fairy,igglybuff,210
35,20,65,40,65,20,fairy,,togepi,245
55,40,85,80,105,40,fairy,flying,togetic,405
40,50,45,70,45,70,psychic,flying,natu,320
65,75,70,95,70,95,psychic,flying,xatu,470
55,40,40,65,45,35,electric,,mareep,280
70,55,55,80,60,45,electric,,flaaffy,365
90,75,85,115,90,55,electric,,ampharos,510
75,80,95,90,100,50,grass,,bellossom,490
70,20,50,20,50,40,water,fairy,marill,250
100,50,80,60,80,50,water,fairy,azumarill,420
70,100,115,30,65,30,rock,,sudowoodo,410
90,75,75,90,100,70,water,,politoed,500
35,35,40,35,55,50,grass,flying,hoppip,250
55,45,50,45,65,80,grass,flying,skiploom,340
75,55,70,55,95,110,grass,flying,jumpluff,460
55,70,55,40,55,85,normal,,aipom,360
30,30,30,30,30,30,grass,,sunkern,180
75,75,55,105,85,30,grass,,sunflora,425
65,65,45,75,45,95,bug,flying,yanma,390
55,45,45,25,25,15,water,ground,wooper,210
95,85,85,65,65,35,water,ground,quagsire,430
65,65,60,130,95,110,psychic,,espeon,525
95,65,110,60,130,65,dark,,umbreon,525
60,85,42,85,42,91,dark,flying,murkrow,405
95,75,80,100,110,30,water,psychic,slowking,490
60,60,60,85,85,85,ghost,,misdreavus,435
48,72,48,72,48,48,psychic,,unown,336
190,33,58,33,58,33,psychic,,wobbuffet,405
70,80,65,90,65,85,normal,psychic,girafarig,455
50,65,90,35,35,15,bug,,pineco,290
75,90,140,60,60,40,bug,steel,forretress,465
100,70,70,65,65,45,normal,,dunsparce,415
65,75,105,35,65,85,ground,flying,gligar,430
75,85,200,55,65,30,steel,ground,steelix,510
60,80,50,40,40,30,fairy,,snubbull,300
90,120,75,60,60,45,fairy,,granbull,450
65,95,85,55,55,85,water,poison,qwilfish,440
70,130,100,55,80,65,bug,steel,scizor,500
20,10,230,10,230,5,bug,rock,shuckle,505
80,125,75,40,95,85,bug,fighting,heracross,500
55,95,55,35,75,115,dark,ice,sneasel,430
60,80,50,50,50,40,normal,,teddiursa,330
90,130,75,75,75,55,normal,,ursaring,500
40,40,40,70,40,20,fire,,slugma,250
60,50,120,90,80,30,fire,rock,magcargo,430
50,50,40,30,30,50,ice,ground,swinub,250
100,100,80,60,60,50,ice,ground,piloswine,450
65,55,95,65,95,35,water,rock,corsola,410
35,65,35,65,35,65,water,,remoraid,300
75,105,75,105,75,45,water,,octillery,480
45,55,45,65,45,75,ice,flying,delibird,330
85,40,70,80,140,70,water,flying,mantine,485
65,80,140,40,70,70,steel,flying,skarmory,465
45,60,30,80,50,65,dark,fire,houndour,330
75,90,50,110,80,95,dark,fire,houndoom,500
75,95,95,95,95,85,water,dragon,kingdra,540
90,60,60,40,40,40,ground,,phanpy,330
90,120,120,60,60,50,ground,,donphan,500
85,80,90,105,95,60,normal,,porygon2,515
73,95,62,85,65,85,normal,,stantler,465
55,20,35,20,45,75,normal,,smeargle,250
35,35,35,35,35,35,fighting,,tyrogue,210
50,95,95,35,110,70,fighting,,hitmontop,455
45,30,15,85,65,65,ice,psychic,smoochum,305
45,63,37,65,55,95,electric,,elekid,360
45,75,37,70,55,83,fire,,magby,365
95,80,105,40,70,100,normal,,miltank,490
255,10,10,75,135,55,normal,,blissey,540
90,85,75,115,100,115,electric,,raikou,580
115,115,85,90,75,100,fire,,entei,580
100,75,115,90,115,85,water,,suicune,580
50,64,50,45,50,41,rock,ground,larvitar,300
70,84,70,65,70,51,rock,ground,pupitar,410
100,134,110,95,100,61,rock,dark,tyranitar,600
106,90,130,90,154,110,psychic,flying,lugia,680
106,130,90,110,154,90,fire,flying,ho-oh,680
100,100,100,100,100,100,psychic,grass,celebi,600
