hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat
56,61,65,48,45,38,grass,,chespin,313
61,78,95,56,58,57,grass,,quilladin,405
88,107,122,74,75,64,grass,fighting,chesnaught,530
40,45,40,62,60,60,fire,,fennekin,307
59,59,58,90,70,73,fire,,braixen,409
75,69,72,114,100,104,fire,psychic,delphox,534
41,56,40,62,44,71,water,,froakie,314
54,63,52,83,56,97,water,,frogadier,405
72,95,67,103,71,122,water,dark,greninja,530
38,36,38,32,36,57,normal,,bunnelby,237
85,56,77,50,77,78,normal,ground,diggersby,423
45,50,43,40,38,62,normal,flying,fletchling,278
62,73,55,56,52,84,fire,flying,fletchinder,382
78,81,71,74,69,126,fire,flying,talonflame,499
38,35,40,27,25,35,bug,,scatterbug,200
45,22,60,27,30,29,bug,,spewpa,213
80,52,50,90,50,89,bug,flying,vivillon,411
62,50,58,73,54,72,fire,normal,litleo,369
86,68,72,109,66,106,fire,normal,pyroar,507
44,38,39,61,79,42,fairy,,flabebe,303
54,45,47,75,98,52,fairy,,floette,371
78,65,68,112,154,75,fairy,,florges,552
66,65,48,62,57,52,grass,,skiddo,350
123,100,62,97,81,68,grass,,gogoat,531
67,82,62,46,48,43,fighting,,pancham,348
95,124,78,69,71,58,fighting,dark,pangoro,495
75,80,60,65,90,102,normal,,furfrou,472
62,48,54,63,60,68,psychic,,espurr,355
74,48,76,83,81,104,psychic,,meowstic-male,466
45,80,100,35,37,28,steel,ghost,honedge,325
59,110,150,45,49,35,steel,ghost,doublade,448
60,50,140,50,140,60,steel,ghost,aegislash-shield,500
78,52,60,63,65,23,fairy,,spritzee,341
101,72,72,99,89,29,fairy,,aromatisse,462
62,48,66,59,57,49,fairy,,swirlix,341
82,80,86,85,75,72,fairy,,slurpuff,480
53,54,53,37,46,45,dark,psychic,inkay,288
86,92,88,68,75,73,dark,psychic,malamar,482
42,52,67,39,56,50,rock,water,binacle,306
72,105,115,54,86,68,rock,water,barbaracle,500
50,60,60,60,60,30,poison,water,skrelp,320
65,75,90,97,123,44,poison,dragon,dragalge,494
50,53,62,58,63,44,water,,clauncher,330
71,73,88,120,89,59,water,,clawitzer,500
44,38,33,61,43,70,electric,normal,helioptile,289
62,55,52,109,94,109,electric,normal,heliolisk,481
58,89,77,45,45,48,rock,dragon,tyrunt,362
82,121,119,69,59,71,rock,dragon,tyrantrum,521
77,59,50,67,63,46,rock,ice,amaura,362
123,77,72,99,92,58,rock,ice,aurorus,521
95,65,65,110,130,60,fairy,,sylveon,525
78,92,75,74,63,118,fighting,flying,hawlucha,500
67,58,57,81,67,101,electric,fairy,dedenne,431
50,50,150,50,150,50,rock,fairy,carbink,500
45,50,35,55,75,40,dragon,,goomy,300
68,75,53,83,113,60,dragon,,sliggoo,452
90,100,70,110,150,80,dragon,,goodra,600
57,80,91,80,87,75,steel,fairy,klefki,470
43,70,48,50,60,38,ghost,grass,phantump,309
85,110,76,65,82,56,ghost,grass,trevenant,474
49,66,70,44,55,51,ghost,grass,pumpkaboo-average,335
65,90,122,58,75,84,ghost,grass,gourgeist-average,494
55,69,85,32,35,28,ice,,bergmite,304
95,117,184,44,46,28,ice,,avalugg,514
40,30,35,45,40,55,flying,dragon,noibat,245
85,70,80,97,80,123,flying,dragon,noivern,535
126,131,95,131,98,99,fairy,,xerneas,680
126,131,95,131,98,99,dark,flying,yveltal,680
108,100,121,81,95,95,dragon,ground,zygarde-50,600
50,100,150,100,150,50,rock,fairy,diancie,600
80,110,60,150,130,70,psychic,ghost,hoopa,600
80,110,120,130,90,70,fire,water,volcanion,600
