hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat
40,61,54,45,45,65,grass,,sprigatito,310
61,80,63,60,63,83,grass,,floragato,410
76,110,70,81,70,123,grass,dark,meowscarada,530
67,45,59,63,40,36,fire,,fuecoco,310
81,55,78,90,58,49,fire,,crocalor,411
104,75,100,110,75,66,fire,ghost,skeledirge,530
55,65,45,50,45,50,water,,quaxly,310
70,85,65,65,60,65,water,,quaxwell,410
85,120,80,85,75,85,water,fighting,quaquaval,530
54,45,40,35,45,35,normal,,lechonk,254
110,100,75,59,80,65,normal,,oinkologne,489
35,41,45,29,40,20,bug,,tarountula,210
60,79,92,52,86,35,bug,,spidops,404
33,46,40,21,25,45,bug,,nymble,210
71,102,78,52,55,92,bug,dark,lokix,450
45,50,20,40,25,60,electric,,pawmi,240
60,75,40,50,40,85,electric,fighting,pawmo,350
70,115,70,70,60,105,electric,fighting,pawmot,490
50,50,45,40,45,75,normal,,tandemaus,305
74,75,70,65,75,111,normal,,maushold,470
37,55,70,30,55,65,fairy,,fidough,312
57,80,115,50,80,95,fairy,,dachsbun,477
41,35,45,58,51,30,grass,normal,smoliv,260
52,53,60,78,78,33,grass,normal,dolliv,354
78,69,90,125,109,39,grass,normal,arboliva,510
82,96,51,45,51,92,normal,flying,squawkabilly,417
55,55,75,35,35,25,rock,,nacli,280
60,60,100,35,65,35,rock,,naclstack,355
100,100,130,45,90,35,rock,,garganacl,500
40,50,40,50,40,35,fire,,charcadet,255
85,60,100,125,80,75,fire,psychic,armarouge,525
75,125,80,60,100,85,fire,ghost,ceruledge,525
61,31,41,59,35,45,electric,,tadbulb,272
109,64,91,103,83,45,electric,,bellibolt,495
40,40,35,55,40,70,electric,flying,wattrel,280
70,70,60,105,60,125,electric,flying,kilowattrel,490
60,78,60,40,51,51,dark,,maschiff,340
80,120,90,60,70,85,dark,,mabosstiff,505
40,65,35,40,35,75,poison,normal,shroodle,290
63,95,65,80,72,110,poison,normal,grafaiai,485
40,65,30,45,35,60,grass,ghost,bramblin,275
55,115,70,80,70,90,grass,ghost,brambleghast,480
40,40,35,50,100,70,ground,grass,toedscool,335
80,70,65,80,120,100,ground,grass,toedscruel,515
70,100,115,35,55,75,rock,,klawf,450
50,62,40,62,40,50,grass,,capsakid,304
65,108,65,108,65,75,grass,fire,scovillain,486
41,50,60,31,58,30,bug,,rellor,270
75,50,85,115,100,45,bug,psychic,rabsca,470
30,35,30,55,30,75,psychic,,flittle,255
95,60,60,101,60,105,psychic,,espathra,481
50,45,45,35,64,58,fairy,steel,tinkatink,297
65,55,55,45,82,78,fairy,steel,tinkatuff,380
85,75,77,70,105,94,fairy,steel,tinkaton,506
10,55,25,35,25,95,water,,wiglett,245
35,100,50,50,70,120,water,,wugtrio,425
70,103,85,60,85,82,flying,dark,bombirdier,485
70,45,40,45,40,75,water,,finizen,315
100,70,72,53,62,100,water,,palafin,457
45,70,63,30,45,47,steel,poison,varoom,300
80,119,90,54,67,90,steel,poison,revavroom,500
70,95,65,85,65,121,dragon,normal,cyclizar,501
70,85,145,60,55,65,steel,,orthworm,480
48,35,42,105,60,60,rock,poison,glimmet,350
83,55,90,130,81,86,rock,poison,glimmora,525
50,61,60,30,55,34,ghost,,greavard,290
72,101,100,50,97,68,ghost,,houndstone,488
82,115,74,75,64,90,flying,fighting,flamigo,500
108,68,45,30,40,43,ice,,cetoddle,334
170,113,65,45,55,73,ice,,cetitan,521
90,102,73,78,65,70,water,psychic,veluza,478
150,100,115,65,65,35,water,,dondozo,530
68,50,60,120,95,82,dragon,water,tatsugiri,475
110,115,80,50,90,90,fighting,ghost,annihilape,535
130,75,60,45,100,20,poison,ground,clodsire,430
120,90,70,110,70,60,normal,psychic,farigiraf,520
125,100,80,85,75,55,normal,,dudunsparce,520
100,135,120,60,85,50,dark,steel,kingambit,550
115,131,131,53,53,87,ground,fighting,great-tusk,570
115,65,99,65,115,111,fairy,psychic,scream-tail,570
111,127,99,79,99,55,grass,dark,brute-bonnet,570
55,55,55,135,135,135,ghost,fairy,flutter-mane,570
85,135,79,85,105,81,bug,fighting,slither-wing,570
85,81,97,121,85,101,electric,ground,sandy-shocks,570
90,112,120,72,70,106,ground,steel,iron-treads,570
56,80,114,124,60,136,ice,water,iron-bundle,570
154,140,108,50,68,50,fighting,electric,iron-hands,570
94,80,86,122,80,108,dark,flying,iron-jugulis,570
80,70,60,140,110,110,fire,poison,iron-moth,570
100,134,110,70,84,72,rock,electric,iron-thorns,570
65,75,45,35,45,55,dragon,ice,frigibax,320
90,95,66,45,65,62,dragon,ice,arctibax,423
115,145,92,75,86,87,dragon,ice,baxcalibur,600
45,30,70,75,70,10,ghost,,gimmighoul,300
87,60,95,133,91,84,steel,ghost,gholdengo,550
85,85,100,95,135,70,dark,grass,wo-chien,570
80,120,80,90,65,135,dark,ice,chien-pao,570
155,110,125,55,80,45,dark,ground,ting-lu,570
55,80,80,135,120,100,dark,fire,chi-yu,570
105,139,71,55,101,119,dragon,dark,roaring-moon,590
74,130,90,120,60,116,fairy,fighting,iron-valiant,590
100,135,115,85,100,135,fighting,dragon,koraidon,670
100,85,100,135,115,135,electric,dragon,miraidon,670
99,83,91,125,83,109,water,dragon,walking-wake,590
90,130,88,70,108,104,grass,psychic,iron-leaves,590
